"Original
Member";x
10000;AKT3
1975;EIF4B
1977;EIF4E
1978;EIF4EBP1
207;AKT1
208;AKT2
2277;VEGFD
23533;PIK3R5
2475;MTOR
253260;RICTOR
253314;EIF4E1B
25989;ULK3
27330;RPS6KA6
3091;HIF1A
3479;IGF1
3630;INS
5170;PDPK1
51719;CAB39
5228;PGF
5290;PIK3CA
5291;PIK3CB
5293;PIK3CD
5294;PIK3CG
5295;PIK3R1
5296;PIK3R2
54541;DDIT4
5562;PRKAA1
5563;PRKAA2
5594;MAPK1
5595;MAPK3
57521;RPTOR
6009;RHEB
6194;RPS6
6195;RPS6KA1
6196;RPS6KA2
6197;RPS6KA3
6198;RPS6KB1
6199;RPS6KB2
64223;MLST8
673;BRAF
6794;STK11
7248;TSC1
7249;TSC2
7422;VEGFA
7423;VEGFB
7424;VEGFC
81617;CAB39L
8408;ULK1
8503;PIK3R3
92335;STRADA
9470;EIF4E2
9706;ULK2
9707;PTEN
9708;TSC1
9709;TSC2
9710;AKT1
9711;AKT1
9712;EIF4G2
9713;TSC2
9714;TSC2
9715;EIF4E
9716;EIF4E
9717;MKNK1
9718;TSC1
9719;TSC1
9720;EIF4G2
9721;EIF4G1
9722;EIF4G1
9723;EIF4G3
9724;EIF4G3
9725;EIF4G3
9726;PDK2
9727;PDK2
9728;PDK2
9729;EIF4A1
9730;PIK3R1
9731;PDPK1
9732;EIF4A1
9733;EIF4G2
9734;EIF4A2
9735;EIF4E
9736;PDK2
9737;PDPK1
9738;PPP2CA
9739;RPS6KB1
9740;MKNK1
9741;EIF3A
9742;EIF4G3
9743;EIF4EBP1
9744;EIF4G1
9745;MTOR
9746;AKT1
9747;RHEB
9748;PIK3CA
9749;PDPK1
9750;PIK3R1
9751;PIK3R1
9752;PIK3R1
9753;EIF4G1
9754;EIF4G1
9755;EIF4G1
9756;EIF4G1
9757;MKNK1
9758;SHLD2P3
