"Original
Member";x
10683;DLL3
11317;RBPJL
113878;DTX2
1387;CREBBP
1487;CTBP1
1488;CTBP2
151636;DTX3L
171558;PTCRA
182;JAG1
1840;DTX1
1855;DVL1
1856;DVL2
1857;DVL3
196403;DTX3
2033;EP300
22938;SNW1
23220;DTX4
23385;NCSTN
2648;KAT2A
28514;DLL1
3065;HDAC1
3066;HDAC2
3280;HES1
3516;RBPJ
3714;JAG2
388585;HES5
3955;LFNG
4242;MFNG
4851;NOTCH1
4853;NOTCH2
4854;NOTCH3
4855;NOTCH4
51107;APH1A
54567;DLL4
55534;MAML3
55851;PSENEN
5663;PSEN1
5664;PSEN2
5986;RFNG
6868;ADAM17
84441;MAML2
8650;NUMB
8850;KAT2B
9253;NUMBL
9541;CIR1
9612;NCOR2
9794;MAML1
122011;CSNK1A1L
1452;CSNK1A1
1453;CSNK1D
1454;CSNK1E
1455;CSNK1G2
1456;CSNK1G3
23291;FBXW11
2619;GAS1
27148;STK36
2735;GLI1
2736;GLI2
2737;GLI3
2932;GSK3B
353500;BMP8A
3549;IHH
4036;LRP2
50846;DHH
51384;WNT16
51684;SUFU
51715;RAB23
53944;CSNK1G1
54361;WNT4
5566;PRKACA
5567;PRKACB
5568;PRKACG
5613;PRKX
5727;PTCH1
64399;HHIP
6469;SHH
650;BMP2
652;BMP4
653;BMP5
654;BMP6
655;BMP7
656;BMP8B
6608;SMO
7471;WNT1
7472;WNT2
7473;WNT3
7474;WNT5A
7475;WNT6
7476;WNT7A
7477;WNT7B
7478;WNT8A
7479;WNT8B
7480;WNT10B
7481;WNT11
7482;WNT2B
7483;WNT9A
7484;WNT9B
7546;ZIC2
80326;WNT10A
81029;WNT5B
8643;PTCH2
8945;BTRC
89780;WNT3A
