"","S1.CEL.gz","S2.CEL.gz","S3.CEL.gz"
"DDR1",10.9341668083962,11.209558158694,11.539273105065
"RFC2",8.63284911082415,8.63284911082415,8.48920837818131
"HSPA6",6.26356697164827,6.61401573113432,6.33845294435524
"HSPA7",6.26356697164827,6.61401573113432,6.33845294435524
"PAX8",8.56443474483581,8.66122117411673,8.4360666495656
"GUCA1A",3.45032845653891,3.45032845653891,3.45032845653891
"",3.45032845653891,3.45032845653891,3.45032845653891
"MIR5193",7.60266807855649,8.05032869882616,7.55389909686575
"UBA7",7.60266807855649,8.05032869882616,7.55389909686575
"THRA",5.74133542848176,5.55269484985345,5.63524394632779
"PTPN21",5.1655344773568,5.1655344773568,5.45038485473655
"CCL5",8.68413790892579,7.69759080289126,6.59388809268272
"CYP2E1",3.71976092033278,3.71976092033278,3.71976092033278
"EPHB3",8.78649851286602,8.65257658345912,8.65257658345912
"ESRRAP1",9.82084174335183,9.17992570316601,9.73812179938874
"ESRRA",9.82084174335183,9.17992570316601,9.73812179938874
"CYP2A6",6.70870885072392,6.70870885072392,6.70870885072392
"CYP2A7",6.70870885072392,6.70870885072392,6.70870885072392
"SCARB1",10.4075998941805,9.07624224853512,10.5418221024207
"TTLL12",10.2846946901948,9.63253990180093,10.4253687710643
"MIR4435-2HG",5.19494043333176,5.19494043333176,5.19494043333176
"WFDC2",4.98253700080902,4.98253700080902,4.98253700080902
"MAPK1",7.74448220059826,7.13868394234036,7.84391768369274
"ADAM32",6.64505030975067,4.50000664703692,5.03524287463591
"SPATA17",3.77265274271931,3.77265274271931,3.77265274271931
"PRR22",5.82814405556138,5.82814405556138,5.82814405556138
"PXK",7.57796045933396,7.56032873511075,7.42231503562975
"VPS18",6.13053839260957,6.46624002193248,6.12954599591521
"MSANTD3",8.18693692499781,7.74738499241317,8.77998198521603
"SLC46A1",5.80283312862534,5.12076977492715,7.31966727771917
"TIMD4",4.57559295402603,4.42769039521489,4.3673692328563
"SLC39A5",9.4806208443524,9.18571828467702,9.39364375398119
"ZDHHC11B",4.31802791712908,4.31802791712908,4.31802791712908
"ZDHHC11",4.31802791712908,4.31802791712908,4.31802791712908
"ATP6V1E2",5.85306118128388,5.85306118128388,5.90672889512163
"AFG3L1P",6.83011324801078,7.34522258467948,6.98203674927086
"CILP2",4.31802791712908,4.31802791712908,4.31802791712908
"PIGX",7.13013598533268,6.65847993494696,6.48076933461221
"TMEM196",5.27704625048528,5.10952485022382,5.27704625048528
"SLC39A13",7.80182649632162,7.26130636746288,8.02109273738006
"BEST4",4.31802791712908,4.31802791712908,4.25375426468549
"AK9",5.57573994752847,6.54560048426751,6.2073562100532
"CORO6",5.23003942368275,5.23003942368275,5.23003942368275
"TMEM106A",4.16374955204928,4.16374955204928,4.16374955204928
"ALG10",4.60761620297423,4.31749803168456,5.12541368382184
"TTC39C",5.92407184881558,5.46651371033454,5.66005583435442
"NEXN",5.78114383848825,6.52486070762475,6.70158786579521
"C15orf40",7.47640434731249,7.56287430107577,7.76192411009631
"RAX2",6.77610015207944,6.61592841721567,6.61592841721567
"MFAP3",7.07056246641032,7.82786102665982,7.5005056858113
"EYA3",4.48605703959706,4.38187365861226,4.38187365861226
"GIMAP1",6.64505030975067,7.07265400224244,6.38801528358479
"KLK8",4.52570987297456,4.37172760960656,4.7205212099521
"CCDC65",3.07745896945028,3.06514370960157,2.87561307454693
"PABIR3",3.45770670150912,3.45770670150912,3.34027405889573
"CFAP53",3.02881834498882,3.02881834498882,3.02881834498882
"ARMCX4",3.47941273828648,4.22191811554442,3.42124417479135
"RBBP6",6.92381628917276,7.48448294634085,7.52282934909666
"CENPBD1P",5.80283312862534,5.89821350541874,5.89821350541874
"TRIOBP",8.17967822743057,8.0611432439171,8.0611432439171
"CATSPER1",5.7961242960061,5.63196858002377,5.7961242960061
"HOXD4",5.27496326266122,5.87837710835678,5.35593337855683
"GSC",5.56430698215956,5.56430698215956,5.56430698215956
"SP7",5.35593337855683,5.35593337855683,5.35593337855683
"PDE7A",5.23003942368275,5.23003942368275,5.23003942368275
"CNOT7",6.61415002709026,6.50910797896906,5.79688393938222
"CRYZL1",7.96433776987379,8.1007888194078,7.41009341733225
"PRSS33",9.56811344612377,10.3338162067629,9.0560527553812
"CBARP",5.78553857563892,5.48079644818854,5.59954956465936
"MCMDC2",3.34935384667241,3.52117004455345,3.52117004455345
"TIRAP",6.37068755202533,6.3960362575113,6.04655703340392
