"","R1.CEL.gz","R2.CEL.gz","R3.CEL.gz","R4.CEL.gz","R5.CEL.gz","R6.CEL.gz","R7.CEL.gz","R8.CEL.gz"
"DDR1",10.0980349193371,10.2833968634652,9.82921677637205,10.3084624713115,10.9260685596507,10.3853119919521,10.3695336087791,9.99445526701557
"RFC2",7.83729693353793,8.0187256390961,7.55918165374654,8.25125185131916,8.50881579850446,7.32376870475184,8.48950014064098,7.08449248626634
"HSPA6",5.48100720151386,5.78306526474351,8.52080544718964,5.82272646707261,6.08482639616025,5.90204708089221,5.84170410433959,6.50550781331297
"HSPA7",5.48100720151386,5.78306526474351,8.52080544718964,5.82272646707261,6.08482639616025,5.90204708089221,5.84170410433959,6.50550781331297
"PAX8",8.03436362874463,7.89538840039221,8.13649644998097,8.30903835143192,8.65164873241026,8.88730431506064,8.68871283653319,8.16211236568746
"GUCA1A",2.27334476000875,2.30648403939338,3.38266495084019,2.96285527575274,2.66745394182226,2.50340731422056,2.32433214445584,2.73678434699249
"",2.27334476000875,2.30648403939338,3.38266495084019,2.96285527575274,2.66745394182226,2.50340731422056,2.32433214445584,2.73678434699249
"MIR5193",7.25400147288022,7.81831097702002,7.17135243251336,7.2906249539633,7.637514916066,8.45190448314823,7.12987117068702,8.37163381520138
"UBA7",7.25400147288022,7.81831097702002,7.17135243251336,7.2906249539633,7.637514916066,8.45190448314823,7.12987117068702,8.37163381520138
"THRA",5.73139404443229,5.97752867348139,5.52189545107019,6.21535497291007,6.62349832675026,6.75304903785159,6.68751359182735,5.99535486645086
"PTPN21",5.08712748550655,4.79238198325488,4.96020274885885,4.76330286394662,4.84923971051811,4.78872687112242,4.62752397855001,4.77918316414827
"CCL5",6.58781314003857,8.49528558141544,8.68158426020818,7.46410035861451,7.89864749959455,10.3997288471219,6.86086094380105,10.5629883979382
"CYP2E1",3.57302239805446,3.43740964797711,3.96533241336829,3.77455093889445,3.93791863585169,3.56390595883385,3.37161575900756,3.75217064557747
"EPHB3",7.14396537420775,7.72603374212521,8.08651638888897,6.98117706917931,8.72846554230586,7.34829872167128,7.77219047102066,7.40420925421176
"ESRRAP1",8.07769228624026,8.59780038687132,7.70631398003642,8.75293353676765,9.6511669735221,9.06339980856985,8.38075444915191,7.70753071566562
"ESRRA",8.07769228624026,8.59780038687132,7.70631398003642,8.75293353676765,9.6511669735221,9.06339980856985,8.38075444915191,7.70753071566562
"CYP2A6",5.40967530693519,5.00563787133588,5.52490969047472,5.40249992402906,5.66301989493941,6.09615449572119,5.40752673822115,5.58229917804428
"CYP2A7",5.40967530693519,5.00563787133588,5.52490969047472,5.40249992402906,5.66301989493941,6.09615449572119,5.40752673822115,5.58229917804428
"SCARB1",8.86639143567932,9.22141378749423,7.71438916608055,8.81266288940686,9.73960125448486,9.15136337045493,9.8451106016444,8.4879733533923
"TTLL12",8.78520786963095,8.35722294285095,8.52050629915044,9.07079265510443,9.82019753462874,9.31418966696194,9.15877817739215,8.59916972085346
"MIR4435-2HG",4.5418088699217,4.39336447932603,4.59102178183062,4.69505910276633,4.69678174326903,4.73519845121151,4.49729948637487,4.65378095505936
"WFDC2",4.78489135866423,4.78340256017324,4.81334536774664,4.94965887414216,4.84020037516913,5.04124702806054,4.71032763141088,4.85694704514859
"MAPK1",6.98938280356831,6.76164373522732,7.61034972192922,7.49327102141385,7.44024791184385,7.06744841006794,7.34814876713942,7.58179626543193
"ADAM32",4.37213549085696,3.37095634015715,3.70431063347445,2.71768337100378,2.95824264517743,3.00666642245093,3.47589560863753,3.21268900668939
"SPATA17",4.08820679497897,3.87541182111413,4.01388325085088,3.99420894331991,3.71164318442028,4.13669541546516,4.47397565205905,4.00474646587245
