"","S1.CEL.gz","S2.CEL.gz","S3.CEL.gz","S4.CEL.gz","S5.CEL.gz","S6.CEL.gz","S7.CEL.gz"
"DDR1",10.2931666543984,11.1440717812929,10.032696692225,10.8438969766244,8.76391899362198,10.526495725199,10.4138898886345
"RFC2",7.83617174645689,8.54208899422821,7.49639162301102,8.94817496390156,7.91699842044691,7.73429420730886,7.66831327591135
"HSPA6",6.33269678950849,6.14944143579294,6.05926735265649,6.0722877542115,7.01542526765141,6.31889907977313,6.31625134351636
"HSPA7",6.33269678950849,6.14944143579294,6.05926735265649,6.0722877542115,7.01542526765141,6.31889907977313,6.31625134351636
"PAX8",8.22024535860185,8.57386388509144,8.42171580109834,8.30119172174848,8.24311723805187,8.25509024958314,8.59874450250516
"GUCA1A",2.7219209858694,2.65631142915581,2.63644631625178,2.6955895375314,2.85863711674961,2.71450636971733,2.94080105410487
"",2.7219209858694,2.65631142915581,2.63644631625178,2.6955895375314,2.85863711674961,2.71450636971733,2.94080105410487
"MIR5193",8.19809995610157,7.51431041328079,7.95214948563533,7.41853685125199,8.18312741934733,8.446458424737,8.25601502494287
"UBA7",8.19809995610157,7.51431041328079,7.95214948563533,7.41853685125199,8.18312741934733,8.446458424737,8.25601502494287
"THRA",6.61068556517764,6.78160760052677,6.73729660624595,7.32918151747598,6.85384385474507,6.22589994975387,6.47871681728609
"PTPN21",5.00421018511291,5.10050229596844,5.18736895816368,5.00421018511291,4.73884908087487,4.92500172779532,5.07941671546792
"CCL5",11.7174709276293,8.46661938340173,9.42152778087943,8.20686602637277,12.4210709281335,11.1041090345526,9.91088183372922
"CYP2E1",3.5232508436657,3.73476848986469,3.52086163370809,3.80388563987717,5.05446017037454,3.81678132234466,3.70084253194653
"EPHB3",7.53892592214613,7.54337628982689,7.2425097392314,7.10136108055169,6.34909367416915,7.87387487642961,6.85485159705502
"ESRRAP1",8.33173962455761,8.57020258976761,8.07129722985175,8.23146602608434,7.56862118410177,8.25084877683362,8.34448530544884
"ESRRA",8.33173962455761,8.57020258976761,8.07129722985175,8.23146602608434,7.56862118410177,8.25084877683362,8.34448530544884
"CYP2A6",5.86989283641168,5.4722324083506,5.89013401368789,5.98590452557841,6.13905460890725,5.88382371648653,6.15766268515176
"CYP2A7",5.86989283641168,5.4722324083506,5.89013401368789,5.98590452557841,6.13905460890725,5.88382371648653,6.15766268515176
"SCARB1",8.75216419584255,9.74005147378615,8.00481383300718,9.13370814200066,7.92782834705867,8.54292829746839,8.75676563092543
"TTLL12",8.82606687279974,9.32613386501434,8.52948654762265,8.94948802038242,8.04204949920591,9.18340732225446,9.63924765854587
"MIR4435-2HG",6.40359636603006,6.21257409831856,6.2148443804272,6.31135681868229,6.43251745385962,6.49887267372825,6.20443015090331
"WFDC2",4.92020432784579,4.96670851349173,5.02431831033785,4.92020432784579,5.02910718004742,4.73214429831569,4.76471706257857
"MAPK1",7.58286079231488,7.60142040614077,6.82464231131347,7.55659251623792,7.87505719303632,7.52461364924453,7.2444681793087
"ADAM32",3.09689212986904,4.35759009703606,3.41343924528215,2.96177975593195,2.62623087077371,3.21042492922624,3.11073702306077
"SPATA17",3.8690140198184,4.40994450400023,3.80306551542304,4.10525740044649,3.75113395019822,4.1473351651024,3.58565863885322
"PRR22",6.33589714444482,6.12615653901502,5.94258898186524,6.47790687271848,6.43146076979089,6.31919279743021,6.31919279743021
"PXK",6.47520737608162,6.68973942532209,6.92141791581418,6.58697757296984,6.5757605664389,6.58697757296984,5.57176030225649
"VPS18",5.78113211028506,5.49148756733649,5.78113211028506,5.85628882102013,6.11168123191386,5.68933206779918,5.93053212304993
