"","C1","C2","C3","C4","C5","C6"
"1","RARS2","CCDC80","CCDC80","MTND4P12","KPNA4","DUX4L9"
"2","KPNA4","MPDZ","FBN1","MTND5P11","CLK1","DUX4L15"
"3","CLK1","MGP","MGP","SNORD61","RYK","DUX4L14"
"4","RYK","ABI3BP","COL5A2",NA,"MAP4K5","DUX4L5"
"5","LAPTM4A","SPARCL1","FAP",NA,"CDC42BPA","DUX4L1"
"6","MAP4K5","C3","CCN2",NA,"SLTM","DUX4L20"
"7","CDC42BPA","FGF7","HTRA1",NA,"RASA2","DUX4"
"8","SLTM",NA,"C3",NA,"PRKCI","DUX4L2"
"9","RASA2",NA,"VCAN",NA,"FNDC3A","DUX4L25"
"10","PRKCI",NA,"MXRA5",NA,"KDELR2","DUX4L6"
"11","RANBP9",NA,"FGF7",NA,"BCLAF1","DUX4L23"
"12","FNDC3A",NA,"ELL2",NA,"RB1CC1","DUX4L4"
"13","KDELR2",NA,NA,NA,NA,"DUX4L12"
"14","BCLAF1",NA,NA,NA,NA,"DUX4L21"
"15","RB1CC1",NA,NA,NA,NA,"DBET"
"16",NA,NA,NA,NA,NA,"DUX4L7"
"17",NA,NA,NA,NA,NA,"DUX4L10"
"18",NA,NA,NA,NA,NA,"DUX4L13"
"19",NA,NA,NA,NA,NA,"DUX4L3"
"20",NA,NA,NA,NA,NA,"DUX4L8"
"21",NA,NA,NA,NA,NA,"DUX4L24"
"22",NA,NA,NA,NA,NA,"DUX4L11"
"23",NA,NA,NA,NA,NA,"DUX4L22"
