"","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14"
"1","DPY19L2","TMED4","PRG4","C4A","ZNF454","SCN3A","MAGEB2","KRT6C","TAF15","PANK3","CYP2D6","NPIPB5","FUS","MLF2"
"2","CD37","CXorf38","EGR2","GLI3","PHKA2","GSTA1","AKR1C1","KRT6A",NA,"RAB14","BCORL1","NPIPB3","TMED4","EARS2"
"3","ABCA1","PCYT1A","ELN","ZFPM2","BCOR","MYBPC1","MUC6","S100A7",NA,"TMEM167A","SZT2","NPIPB11",NA,"DEDD2"
"4",NA,"SPRING1","HBA2","LMOD1","COG1","XCL2","IGFL2","KRT14",NA,"ENPP4","KMT2D","NPIPB4",NA,"METTL26"
"5",NA,"SELENOK","AMY2B","SLIT3",NA,"XCL1","COL2A1","KRT16",NA,"RBM27",NA,"NPIPA1",NA,"RPS19BP1"
"6",NA,"ADI1","HMCN1","NOX4",NA,"RGS7","PLK2","KRT5",NA,"CALM2",NA,"ARID1A",NA,"ORMDL3"
"7",NA,"INAFM2","ITGBL1","EFEMP1",NA,"PSG6",NA,"SPRR2G",NA,"GSKIP",NA,"BRD4",NA,NA
"8",NA,"SMIM10L1","COX4I2","MYLK",NA,"SCN2A",NA,"SPRR2E",NA,"VTI1B",NA,"MED15",NA,NA
"9",NA,NA,"NR4A2","RECK",NA,"OR11H12",NA,"FLG",NA,"TMEM41B",NA,"ATXN2L",NA,NA
"10",NA,NA,"SGCA",NA,NA,"POTEJ",NA,"SBSN",NA,"TMEM19",NA,NA,NA,NA
"11",NA,NA,"SYNE1",NA,NA,"IGSF1",NA,"KRTDAP",NA,"CEBPZOS",NA,NA,NA,NA
"12",NA,NA,"CCL2",NA,NA,"GAD1",NA,"SPRR1A",NA,"GLCE",NA,NA,NA,NA
"13",NA,NA,"EGR1",NA,NA,"AVPR2",NA,"SPRR1B",NA,"LRRC57",NA,NA,NA,NA
"14",NA,NA,"AOC3",NA,NA,"IL12RB1",NA,"SPRR2A",NA,"TMEM30B",NA,NA,NA,NA
"15",NA,NA,"AASS",NA,NA,"STK36",NA,"KRT1",NA,"MCFD2",NA,NA,NA,NA
"16",NA,NA,"FBLN5",NA,NA,NA,NA,"SERPINB3",NA,"ATG12",NA,NA,NA,NA
"17",NA,NA,"TEK",NA,NA,NA,NA,"KRT6B",NA,"PPP3R1",NA,NA,NA,NA
