"","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10"
"1","CHGB","MRC1","RANBP2","SLC11A1","PLIN4","ARG1","CRP","KCNJ15","LMOD1","SPDYE21"
"2","EEF1A2","SLIT2","GPR21","ITGAX","PLIN1","BSCL2","ALB","TLR2","KCNMB1","NPIPB5"
"3","NEUROD1","LAMA2","VPS13B",NA,"TRARG1",NA,"HP","IRAK3",NA,"SPDYE1"
"4","CER1","SETBP1","PZP",NA,"LEP",NA,"APCS","QKI",NA,"NPIPB3"
"5","KIF1A","DOCK4","APC",NA,NA,NA,"GC",NA,NA,"NPIPB11"
"6","TMEM59L","CDH23","TTBK2",NA,NA,NA,"ITIH2",NA,NA,"NPIPB4"
"7","PAX4","ADGRL2","MYCBP2",NA,NA,NA,"VTN",NA,NA,"NBPF14"
"8","CHGA","MPDZ","PRRC2C",NA,NA,NA,NA,NA,NA,"NPIPB2"
"9","SBK2","MACF1","ASH1L",NA,NA,NA,NA,NA,NA,"NUTM2G"
"10","RPRM","ARHGAP31","SETX",NA,NA,NA,NA,NA,NA,"NPIPA1"
"11","FEV","PTPRM","USP34",NA,NA,NA,NA,NA,NA,"ANKRD36B"
"12","TFAP2B","OSMR","PCNX1",NA,NA,NA,NA,NA,NA,"NBPF15"
"13","IGLON5","DLC1","BIRC6",NA,NA,NA,NA,NA,NA,"NBPF9"
"14","NPTX1",NA,"REV3L",NA,NA,NA,NA,NA,NA,"ATP2A1"
"15","UNCX",NA,"MLH3",NA,NA,NA,NA,NA,NA,"NBPF1"
"16","PAGE2",NA,"KMT2A",NA,NA,NA,NA,NA,NA,"ARID1A"
"17","LHX3",NA,"WDFY3",NA,NA,NA,NA,NA,NA,NA
"18","CHST8",NA,"TRIP11",NA,NA,NA,NA,NA,NA,NA
"19","INA",NA,"NPAT",NA,NA,NA,NA,NA,NA,NA
"20","HRH3",NA,"EP300",NA,NA,NA,NA,NA,NA,NA
"21","GNG8",NA,"C2CD3",NA,NA,NA,NA,NA,NA,NA
"22","PPP1R17",NA,"SCAF8",NA,NA,NA,NA,NA,NA,NA
"23","CACNG7",NA,"SPG11",NA,NA,NA,NA,NA,NA,NA
"24","PCSK2",NA,"FBXO11",NA,NA,NA,NA,NA,NA,NA
"25","ARHGAP36",NA,"ITSN2",NA,NA,NA,NA,NA,NA,NA
"26","PDZD4",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","CNGA3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","CNIH2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","RTL5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","GPR50",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","CRMP1",NA,NA,NA,NA,NA,NA,NA,NA,NA
