;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;C13;C14
1;MRC1;SLC11A1;PLIN4;KCNJ15;LMOD1;TMED4;PRG4;C4A;RPL23AP88;TREM1;RARS2;CCDC80;CCDC80;MTND4P12
2;SLIT2;ITGAX;PLIN1;TLR2;KCNMB1;CXorf38;EGR2;GLI3;RPL23AP84;AQP9;KPNA4;MPDZ;FBN1;MTND5P11
3;LAMA2;NA;TRARG1;IRAK3;NA;PCYT1A;ELN;ZFPM2;RPL23AP87;BCL2A1;CLK1;MGP;MGP;SNORD61
4;SETBP1;NA;LEP;QKI;NA;SPRING1;HBA2;LMOD1;RPL23AP7;NA;RYK;ABI3BP;COL5A2;NA
5;DOCK4;NA;NA;NA;NA;SELENOK;AMY2B;SLIT3;RPL23AP82;NA;LAPTM4A;SPARCL1;FAP;NA
6;CDH23;NA;NA;NA;NA;ADI1;HMCN1;NOX4;RPL23AP60;NA;MAP4K5;C3;CCN2;NA
7;ADGRL2;NA;NA;NA;NA;INAFM2;ITGBL1;EFEMP1;RPL23AP45;NA;CDC42BPA;FGF7;HTRA1;NA
8;MPDZ;NA;NA;NA;NA;SMIM10L1;COX4I2;MYLK;RPL23AP25;NA;SLTM;NA;C3;NA
9;MACF1;NA;NA;NA;NA;NA;NR4A2;RECK;RPL23AP4;NA;RASA2;NA;VCAN;NA
10;ARHGAP31;NA;NA;NA;NA;NA;SGCA;NA;NA;NA;PRKCI;NA;MXRA5;NA
11;PTPRM;NA;NA;NA;NA;NA;SYNE1;NA;NA;NA;RANBP9;NA;FGF7;NA
12;OSMR;NA;NA;NA;NA;NA;CCL2;NA;NA;NA;FNDC3A;NA;ELL2;NA
13;DLC1;NA;NA;NA;NA;NA;EGR1;NA;NA;NA;KDELR2;NA;NA;NA
14;NA;NA;NA;NA;NA;NA;AOC3;NA;NA;NA;BCLAF1;NA;NA;NA
15;NA;NA;NA;NA;NA;NA;AASS;NA;NA;NA;RB1CC1;NA;NA;NA
16;NA;NA;NA;NA;NA;NA;FBLN5;NA;NA;NA;NA;NA;NA;NA
17;NA;NA;NA;NA;NA;NA;TEK;NA;NA;NA;NA;NA;NA;NA
18;NA;NA;NA;NA;NA;NA;LAMA2;NA;NA;NA;NA;NA;NA;NA
19;NA;NA;NA;NA;NA;NA;SEMA4A;NA;NA;NA;NA;NA;NA;NA
20;NA;NA;NA;NA;NA;NA;PTPRM;NA;NA;NA;NA;NA;NA;NA
21;NA;NA;NA;NA;NA;NA;BBS9;NA;NA;NA;NA;NA;NA;NA
22;NA;NA;NA;NA;NA;NA;EPAS1;NA;NA;NA;NA;NA;NA;NA
23;NA;NA;NA;NA;NA;NA;TNS2;NA;NA;NA;NA;NA;NA;NA
24;NA;NA;NA;NA;NA;NA;PTPRB;NA;NA;NA;NA;NA;NA;NA
