"NCBI (Entrez)
Gene Id";x
207;AKT1
208;AKT2
10000;AKT3
572;BAD
596;BCL2
613;BCR
29760;BLNK
695;BTK
930;CD19
933;CD22
975;CD81
1380;CR2
1445;CSK
1605;DAG1
10211;FLOT1
2319;FLOT2
2885;GRB2
2931;GSK3A
2932;GSK3B
3635;INPP5D
3708;ITPR1
3709;ITPR2
3710;ITPR3
4067;LYN
11184;MAP4K1
5594;MAPK1
5595;MAPK3
4772;NFATC1
4773;NFATC2
8431;NR0B2
5170;PDPK1
5290;PIK3CA
5293;PIK3CD
5295;PIK3R1
5336;PLCG2
23368;PPP1R13B
5530;PPP3CA
5532;PPP3CB
5533;PPP3CC
5788;PTPRC
5894;RAF1
6464;SHC1
6654;SOS1
6655;SOS2
6850;SYK
7409;VAV1
1017;CDK2
1019;CDK4
1021;CDK6
1026;CDKN1A
1029;CDKN2A
10912;GADD45G
1111;CHEK1
11200;CHEK2
143686;SESN3
1643;DDB2
1647;GADD45A
25898;RCHY1
27113;BBC3
27244;SESN1
2810;SFN
317;APAF1
3479;IGF1
3486;IGFBP3
355;FAS
3732;CD82
4193;MDM2
4194;MDM4
4616;GADD45B
472;ATM
50484;RRM2B
5054;SERPINE1
51246;SHISA5
51512;GTSE1
5268;SERPINB5
5366;PMAIP1
54205;CYCS
545;ATR
55240;STEAP3
55367;PIDD1
56475;RPRM
5728;PTEN
575;ADGRB1
581;BAX
595;CCND1
6241;RRM2
637;BID
63970;TP53AIP1
64065;PERP
64326;COP
64393;ZMAT3
6477;SIAH1
7057;THBS1
7157;TP53
7161;TP73
7249;TSC2
836;CASP3
83667;SESN2
841;CASP8
842;CASP9
8493;PPM1D
85417;CCNB3
8795;TNFRSF10B
891;CCNB1
894;CCND2
896;CCND3
898;CCNE1
900;CCNG1
901;CCNG2
9133;CCNB2
9134;CCNE2
9538;EI24
9540;TP53I3
983;CDK1
10335;IRAG1
10846;PDE10A
10900;RUNDC3A
115004;CGAS
118142757;ENSG00000290147
136;ADORA2B
1910;EDNRB
2185;PTK2B
23394;ADNP
2977;GUCY1A2
2978;GUCA1A
2981;GUCA2B
2982;GUCY1A1
2983;GUCY1B1
2986;GUCY2F
3000;GUCY2D
3357;HTR2B
3358;HTR2C
348;APOE
358;AQP1
3630;INS
3747;KCNC2
4544;MTNR1B
4878;NPPA
4879;NPPB
4880;NPPC
4881;NPR1
4882;NPR2
50940;PDE11A
5138;PDE2A
5139;PDE3A
5152;PDE9A
5592;PRKG1
7057;THBS1
79849;PDZD3
948;CD36
10062;NR1H3
10580;SORBS1
10998;SLC27A5
10999;SLC27A4
11001;SLC27A2
116519;APOA5
126129;CPT1C
1374;CPT1A
1375;CPT1B
1376;CPT2
1579;CYP4A11
1581;CYP7A1
1582;CYP8B1
1593;CYP27A1
1622;DBI
1962;EHHADH
2167;FABP4
2168;FABP1
2169;FABP2
2170;FABP3
2171;FABP5
2172;FABP6
2173;FABP7
2180;ACSL1
2181;ACSL3
2182;ACSL4
23305;ACSL6
2710;GK
2712;GK2
284541;CYP4A22
28965;SLC27A6
30;ACAA1
3158;HMGCS2
33;ACADL
335;APOA1
336;APOA2
34;ACADM
345;APOC3
3611;ILK
364;AQP7
376497;SLC27A1
4023;LPL
4199;ME1
4312;MMP1
4973;OLR1
51;ACOX1
5105;PCK1
5106;PCK2
51129;ANGPTL4
5170;PDPK1
51703;ACSL5
5346;PLIN1
5360;PLTP
5465;PPARA
5467;PPARD
5468;PPARG
6256;RXRA
6257;RXRB
6258;RXRG
6319;SCD
6342;SCP2
7316;UBC
7350;UCP1
79966;SCD5
8309;ACOX2
8310;ACOX3
9370;ADIPOQ
9415;FADS2
948;CD36
10116;FEM1B
11200;CHEK2
1407;CRY1
26272;FBXO4
51776;MAP3K20
54465;ETAA1
5514;PPP1R10
55159;RFWD3
55872;PBK
57805;CCAR2
580;BARD1
5888;RAD51
6118;RPA2
672;BRCA1
675;BRCA2
79184;BRCC3
7919;DDX39B
79621;RNASEH2B
79968;WDR76
80185;TTI2
8451;CUL4A
8563;THOC5
9577;BABAM2
9675;TTI1
9894;TELO2
9984;THOC1
